Subcategorie,Hoofdcategorie,Platform
Huiswerkbegeleiding,Kennis,NL VOOR ELKAAR
Taal & lezen,Kennis,NL VOOR ELKAAR
Mantelzorg ondersteuning,Zorg,NL VOOR ELKAAR
(Persoonlijke) verzorging,Zorg,NL VOOR ELKAAR
Vluchtelingenondersteuning,Zorg,NL VOOR ELKAAR
Vervoer,Transport,NL VOOR ELKAAR
Boodschappen,Huishoudelijk,NL VOOR ELKAAR
Oppas,Huishoudelijk,NL VOOR ELKAAR
Klussen & techniek,Huishoudelijk,NL VOOR ELKAAR
Computer,Huishoudelijk,NL VOOR ELKAAR
(Huis)dieren,Huishoudelijk,NL VOOR ELKAAR
Administratie,Huishoudelijk,NL VOOR ELKAAR
Tuin & natuur,Huishoudelijk,NL VOOR ELKAAR
Huishoudelijk,Huishoudelijk,NL VOOR ELKAAR
Creatief & muziek,Geestelijk / Mentaal,NL VOOR ELKAAR
Maatjes & buddy's,Sociaal,NL VOOR ELKAAR
Gezelschap,Sociaal,NL VOOR ELKAAR
Sporten,Sociaal,NL VOOR ELKAAR
Activiteitenbegeleiding,Sociaal,NL VOOR ELKAAR
Gastvrouw / -heer,Sociaal,NL VOOR ELKAAR
Erop uit,Sociaal,NL VOOR ELKAAR
Bar & kantine,Sociaal,NL VOOR ELKAAR
Maaltijden & koken,Productie,NL VOOR ELKAAR
Coronahulp,Overige hulp,NL VOOR ELKAAR
Coördineren & regelen (bv. evenementen),Overige hulp,NL VOOR ELKAAR
Toezicht & beheer,Overige hulp,NL VOOR ELKAAR
Collecte & fondsenwerving,Overige hulp,NL VOOR ELKAAR
Digitaal & IT,Overige hulp,NL VOOR ELKAAR
Financieel & juridisch,Overige hulp,NL VOOR ELKAAR
Marketing,Overige hulp,NL VOOR ELKAAR
communicatie & PR,Overige hulp,NL VOOR ELKAAR
Bestuur & strategie,Overige hulp,NL VOOR ELKAAR
(Online) onderwijs,Kennis,WIJ AMSTERDAM
(Medische) zorg,Zorg,WIJ AMSTERDAM
Diensten aan huis (horeca en bezorgservices),Transport,WIJ AMSTERDAM
In de buurt en burenhulp,Huishoudelijk,WIJ AMSTERDAM
Tech en online tools,Huishoudelijk,WIJ AMSTERDAM
Eenzaamheid en kwetsbare groepen,Geestelijk / Mentaal,WIJ AMSTERDAM
Thuisvermaak,Geestelijk / Mentaal,WIJ AMSTERDAM
Sport en bewegen,Sociaal,WIJ AMSTERDAM
Werk en ondernemers,Productie,WIJ AMSTERDAM
Overig,Overige hulp,WIJ AMSTERDAM
